Date,WTI,Gas,Gold,Bdiy,Dollar,Snp,Open,High,Low,Volume,Energy
2020-04-20,-36.98,1.924,1684.95,757.0,100.058,2823.16,260.17,260.88,243.82,420.66,251.6
2020-04-21,8.91,1.821,1678.6,728.0,100.374,2736.56,251.6,252.04,240.46,408.6,247.38
2020-04-22,13.64,1.939,1702.65,694.0,100.528,2799.31,247.38,259.73,247.38,344.2,256.24
2020-04-23,15.06,1.815,1727.55,672.0,100.535,2797.8,256.24,270.25,256.24,418.98,263.96
2020-04-24,15.99,1.746,1727.25,665.0,100.434,2836.74,263.96,271.33,260.69,395.64,264.51
2020-04-27,12.17,1.819,1717.25,661.0,100.097,2878.48,264.51,272.15,256.89,298.61,270.07
2020-04-28,12.4,1.794,1708.1,655.0,99.934,2863.39,270.07,278.05,270.04,297.65,275.99
2020-04-29,15.04,1.869,1706.0,643.0,99.644,2939.51,275.99,296.97,275.99,400.09,296.28
2020-04-30,19.23,1.949,1716.75,635.0,99.028,2912.43,296.28,296.76,285.58,455.71,289.65
2020-05-01,19.72,1.89,1673.05,617.0,99.1,2830.71,289.65,289.65,270.04,318.69,272.28
2020-05-04,20.47,1.993,1703.7,598.0,99.567,2842.74,272.28,282.47,266.99,309.27,282.38
2020-05-05,24.56,2.134,1696.3,575.0,99.762,2868.44,282.38,296.21,281.96,350.96,283.12
2020-05-06,23.88,1.944,1698.9,534.0,100.136,2848.42,283.12,286.36,275.43,272.95,275.67
2020-05-07,23.68,1.894,1688.65,514.0,99.906,2881.19,275.67,287.88,275.67,280.89,282.49
2020-05-11,24.02,1.826,1698.8,474.0,100.27,2930.32,294.75,294.75,288.54,223.24,289.78
2020-05-12,25.76,1.72,1703.45,433.0,99.956,2870.12,289.78,291.55,282.93,269.64,282.93
2020-05-13,25.37,1.616,1699.85,398.0,100.291,2820.0,282.93,282.93,268.32,322.08,270.52
2020-05-14,27.4,1.681,1716.4,393.0,100.507,2852.5,270.52,275.68,259.46,264.3,273.07
2020-05-15,29.44,1.646,1734.85,407.0,100.434,2863.7,273.07,278.71,270.02,257.74,272.31
2020-05-18,31.83,1.783,1756.9,427.0,99.681,2953.91,272.31,294.7,272.31,347.82,292.87
2020-05-19,32.3,1.83,1735.25,453.0,99.366,2922.94,292.87,292.98,284.36,257.18,284.4
2020-05-20,33.56,1.771,1750.05,477.0,99.135,2971.61,284.4,296.11,284.4,277.1,295.26
2020-05-21,34.3,1.71,1732.8,494.0,99.403,2948.51,295.26,297.7,288.76,281.47,290.88
2020-05-22,33.49,1.731,1732.45,498.0,99.888,2955.45,290.88,290.88,283.17,183.59,288.94
2020-05-26,34.7,1.793,1722.75,506.0,98.906,2991.77,288.94,300.05,288.94,240.6,297.34
2020-05-27,32.8,1.722,1705.15,502.0,99.058,3036.13,297.34,303.18,292.7,251.49,300.79
2020-05-28,33.67,1.827,1723.3,489.0,98.372,3029.73,300.79,301.3,291.02,267.44,292.04
2020-05-29,35.57,1.849,1725.65,504.0,98.341,3044.31,292.04,293.39,285.33,546.78,291.59
2020-06-01,35.49,1.774,1734.8,520.0,97.82,3055.73,291.59,298.04,287.2,269.78,296.5
2020-06-02,36.88,1.777,1740.25,546.0,97.659,3080.82,296.5,304.72,296.5,269.62,304.37
2020-06-03,37.33,1.821,1717.6,592.0,97.259,3122.87,304.37,314.83,304.37,267.73,313.65
2020-06-04,37.42,1.822,1706.45,632.0,96.657,3112.35,313.65,314.34,307.36,277.38,313.17
2020-06-05,39.49,1.782,1709.55,679.0,96.922,3193.93,313.17,339.33,313.17,482.39,336.52
2020-06-08,38.17,1.789,1692.0,698.0,96.608,3232.39,336.52,351.11,336.52,486.96,351.06
2020-06-09,38.98,1.767,1707.5,714.0,96.321,3207.18,351.06,351.06,334.02,346.56,338.46
2020-06-10,39.54,1.78,1717.65,764.0,95.95,3190.14,338.46,338.46,321.81,313.87,321.81
2020-06-11,36.43,1.813,1731.9,839.0,96.739,3002.1,321.81,321.81,290.91,373.96,291.39
2020-06-12,36.24,1.731,1735.85,923.0,97.305,3041.31,291.39,306.81,291.19,311.76,299.28
2020-06-15,37.07,1.669,1710.4,973.0,96.978,3066.59,299.28,302.76,283.6,296.98,299.54
2020-06-16,38.26,1.614,1728.35,1054.0,96.933,3124.74,299.54,314.21,299.54,299.98,307.99
2020-06-17,37.91,1.638,1717.3,1246.0,97.144,3113.49,307.99,307.99,297.85,231.21,297.89
2020-06-18,38.79,1.638,1732.65,1527.0,97.4,3115.34,297.89,304.48,293.12,218.13,301.45
2020-06-19,39.72,1.669,1728.55,1555.0,97.577,3097.74,301.45,310.53,296.4,468.66,296.4
2020-06-22,40.6,1.664,1745.45,1558.0,96.985,3117.86,296.4,298.94,291.79,207.96,298.27
2020-06-23,40.4,1.637,1756.6,1617.0,96.608,3131.29,298.27,303.25,297.56,229.72,298.5
2020-06-24,37.91,1.597,1775.7,1705.0,97.129,3050.33,298.5,298.5,280.34,272.61,281.97
2020-06-25,38.66,1.482,1758.55,1738.0,97.388,3083.76,281.97,288.36,278.18,224.17,287.39
2020-06-26,38.53,1.495,1762.1,1749.0,97.404,3009.05,287.39,287.39,276.29,295.46,277.3
2020-06-29,39.67,1.709,1768.8,1794.0,97.501,3053.24,277.3,283.59,276.95,222.4,281.26
2020-06-30,39.27,1.751,1770.7,1799.0,97.349,3100.29,281.26,289.17,276.11,249.36,287.46
2020-07-01,39.88,1.671,1787.4,1803.0,97.155,3115.86,287.46,292.49,280.16,237.92,280.3
2020-07-02,40.57,1.734,1771.85,1823.0,97.301,3130.01,280.3,290.14,280.3,214.1,283.46
2020-07-06,40.51,1.83,1774.4,1956.0,96.682,3179.72,283.46,290.23,281.08,238.68,284.51
2020-07-07,40.59,1.876,1775.5,1949.0,96.839,3145.32,284.51,284.51,275.12,206.81,275.46
2020-07-08,40.91,1.824,1799.35,1849.0,96.368,3169.94,275.46,279.85,273.24,212.34,275.17
2020-07-09,39.64,1.779,1812.45,1810.0,96.673,3152.05,275.17,275.17,261.64,250.62,261.81
2020-07-10,40.56,1.805,1805.75,1810.0,96.614,3185.04,261.81,270.52,260.78,212.9,270.32
2020-07-13,40.06,1.739,1808.05,1792.0,96.407,3155.22,270.32,273.79,266.88,215.13,268.87
2020-07-14,40.3,1.746,1798.2,1742.0,96.207,3197.52,268.87,278.95,266.48,223.0,278.56
2020-07-15,41.2,1.778,1809.3,1696.0,96.039,3226.56,278.56,286.11,278.56,217.04,284.02
2020-07-16,40.74,1.723,1804.6,1699.0,96.319,3215.57,284.02,286.25,278.67,162.72,282.57
2020-07-17,40.55,1.718,1802.9,1710.0,95.889,3224.73,282.57,286.35,277.27,185.35,278.27
2020-07-20,40.83,1.641,1810.3,1678.0,95.772,3251.84,278.27,280.39,273.45,295.08,273.46
2020-07-21,41.76,1.675,1823.2,1594.0,95.06,3257.3,273.46,292.24,273.46,339.84,290.28
2020-07-22,41.88,1.681,1851.0,1473.0,94.93,3276.02,290.28,290.28,282.44,222.18,286.39
2020-07-23,40.99,1.785,1882.35,1388.0,94.649,3235.66,286.39,287.26,282.39,210.89,285.79
2020-07-24,41.23,1.808,1893.85,1317.0,94.38,3215.63,285.79,290.08,283.26,182.94,284.11
2020-07-27,41.46,1.734,1940.55,1293.0,93.615,3239.41,284.11,285.88,280.47,193.82,284.71
2020-07-28,40.89,1.8,1931.65,1264.0,93.647,3218.44,284.71,285.62,279.18,187.98,279.73
2020-07-29,41.13,1.854,1954.35,1317.0,93.432,3258.44,279.73,285.74,278.78,195.16,285.7
2020-07-30,39.85,1.829,1952.2,1348.0,93.009,3246.22,285.7,285.7,271.68,275.78,273.99
2020-07-31,40.1,1.799,1974.7,1350.0,93.321,3271.12,273.99,273.99,266.58,285.58,272.09
2020-08-03,40.83,2.101,1972.95,1385.0,93.507,3294.61,272.09,274.29,269.88,251.41,272.81
2020-08-04,41.67,2.193,1972.25,1463.0,93.378,3306.51,272.81,280.16,271.88,235.12,279.51
2020-08-05,42.25,2.191,2034.45,1475.0,92.85,3327.77,279.51,285.83,279.51,247.72,282.46
2020-08-06,41.93,2.165,2049.15,1500.0,92.768,3349.16,282.46,283.45,279.4,187.3,280.45
2020-08-07,41.16,2.238,2061.5,1501.0,93.412,3351.28,280.45,281.2,274.77,191.58,280.59
2020-08-10,41.94,2.153,2030.3,1506.0,93.569,3360.47,280.59,289.35,280.59,219.26,289.24
2020-08-11,41.53,2.171,1996.6,1510.0,93.6,3333.69,289.24,298.49,287.31,272.67,288.55
2020-08-12,42.6,2.152,1931.7,1540.0,93.408,3380.35,288.55,293.31,287.0,225.02,290.07
2020-08-13,42.26,2.182,1931.0,1577.0,93.317,3373.43,290.07,290.07,283.78,181.0,284.31
2020-08-14,42.05,2.356,1948.3,1595.0,93.085,3372.85,284.31,287.3,281.16,150.6,286.99
2020-08-17,42.89,2.339,1949.85,1598.0,92.847,3381.99,286.99,286.99,283.49,192.97,285.18
2020-08-18,42.89,2.417,2005.15,1586.0,92.259,3389.78,285.18,285.73,279.6,170.54,280.29
2020-08-19,42.91,2.426,1993.15,1568.0,92.88,3374.85,280.29,281.42,276.34,166.58,277.05
2020-08-20,42.62,2.352,1928.05,1518.0,92.778,3385.51,277.05,277.05,271.15,174.84,271.15
2020-08-21,42.32,2.448,1932.85,1481.0,93.24,3397.16,271.15,271.15,267.01,188.24,269.45
2020-08-24,42.44,2.513,1947.55,1491.0,93.289,3431.28,269.45,278.71,269.45,185.18,276.87
2020-08-25,43.17,2.489,1925.45,1518.0,93.019,3443.62,276.87,278.5,271.65,173.44,272.94
2020-08-26,43.21,2.461,1918.5,1509.0,92.996,3478.73,272.94,272.94,266.71,172.97,266.85
2020-08-27,42.88,2.579,1938.8,1504.0,92.991,3484.55,266.85,269.13,264.15,189.1,267.52
2020-08-28,42.96,2.657,1955.85,1488.0,92.379,3508.01,267.52,272.94,267.1,173.57,272.48
2020-09-01,42.76,2.527,1987.95,1471.0,92.337,3526.65,266.5,266.5,261.13,186.31,264.05
2020-09-02,42.76,2.486,1969.0,1445.0,92.834,3580.84,264.05,265.76,261.36,217.11,262.95
2020-09-03,41.39,2.487,1934.1,1395.0,92.733,3455.06,262.95,267.82,259.48,277.05,261.18
2020-09-04,39.69,2.588,1937.6,1362.0,92.719,3426.96,261.18,265.48,257.11,239.32,260.32
2020-09-08,36.87,2.4,1920.6,1328.0,93.441,3331.84,260.32,260.32,247.85,338.17,250.67
2020-09-09,38.05,2.406,1928.4,1296.0,93.258,3398.96,250.67,255.07,250.67,244.22,252.21
2020-09-10,37.25,2.323,1944.8,1269.0,93.331,3339.19,252.21,253.19,242.89,304.82,242.96
2020-09-11,37.33,2.269,1944.5,1267.0,93.32,3340.97,242.96,245.02,241.46,260.2,243.58
2020-09-14,37.23,2.31,1942.3,1282.0,92.912,3383.54,243.58,247.21,242.3,227.81,245.09
2020-09-15,38.29,2.362,1963.55,1289.0,93.085,3401.2,245.09,248.94,242.58,230.52,243.22
2020-09-16,40.17,2.267,1964.8,1281.0,93.231,3385.49,243.22,256.27,243.22,298.94,253.06
2020-09-17,40.99,2.042,1936.1,1294.0,92.969,3357.01,253.06,253.67,246.57,237.66,253.58
2020-09-18,41.09,2.048,1954.75,1296.0,92.952,3319.47,253.58,253.58,248.11,368.18,250.65
2020-09-21,39.26,1.835,1930.9,1314.0,93.684,3281.06,250.65,250.65,238.44,265.96,242.45
2020-09-22,39.55,1.834,1903.1,1364.0,94.018,3315.57,242.45,246.34,239.53,200.38,239.96
2020-09-23,39.92,2.125,1888.1,1426.0,94.443,3236.92,239.96,241.58,228.93,238.96,229.05
2020-09-24,40.11,2.248,1850.75,1605.0,94.394,3246.59,229.05,233.26,224.26,250.68,229.24
2020-09-25,40.06,2.139,1870.05,1667.0,94.682,3298.46,229.24,230.81,225.54,251.57,229.09
2020-09-28,40.47,2.101,1850.95,1654.0,94.302,3351.6,229.09,237.02,229.09,262.49,234.42
2020-09-29,39.03,2.561,1882.4,1658.0,93.927,3335.47,234.42,234.42,225.63,244.34,228.03
2020-09-30,40.05,2.527,1883.4,1725.0,93.927,3363.0,228.03,231.87,226.25,241.74,227.49
2020-10-01,38.51,2.527,1895.55,1869.0,93.762,3380.8,227.49,227.49,219.05,306.6,220.36
2020-10-02,36.9,2.438,1906.4,2020.0,93.909,3348.44,220.36,224.28,214.35,275.5,222.55
2020-10-05,39.12,2.615,1899.65,2071.0,93.545,3408.63,222.55,229.05,222.55,209.13,229.05
2020-10-06,40.52,2.52,1912.5,2097.0,93.744,3360.95,229.05,233.64,225.19,250.27,225.56
2020-10-07,39.82,2.606,1888.0,2044.0,93.678,3419.45,225.56,229.39,224.39,204.09,228.82
2020-10-08,41.04,2.627,1891.35,1970.0,93.648,3446.83,228.82,237.64,228.82,219.46,237.46
2020-10-09,40.44,2.741,1912.4,1892.0,93.065,3477.13,237.46,240.14,233.34,219.98,233.68
2020-10-12,39.22,2.881,1919.8,1807.0,93.104,3534.22,233.68,235.16,230.57,183.84,234.41
2020-10-13,40.03,2.855,1920.8,1732.0,93.536,3511.93,234.41,235.67,230.05,194.91,230.76
2020-10-14,40.86,2.636,1896.45,1637.0,93.366,3488.67,230.76,236.81,230.76,221.29,231.47
2020-10-15,40.84,2.775,1891.7,1561.0,93.864,3483.34,231.47,234.27,225.54,217.04,234.18
2020-10-16,40.7,2.773,1908.2,1477.0,93.679,3483.81,234.18,234.18,228.58,241.74,228.78
2020-10-19,40.69,2.795,1910.0,1409.0,93.429,3426.92,228.78,230.81,223.85,257.65,223.97
2020-10-20,41.37,2.913,1906.35,1350.0,93.051,3443.12,223.97,228.39,223.75,248.77,226.51
2020-10-21,39.88,3.023,1918.95,1346.0,92.599,3435.56,226.51,226.51,221.99,255.68,222.01
2020-10-22,40.46,3.007,1916.85,1401.0,92.964,3453.49,222.01,231.62,221.13,283.06,231.24
2020-10-23,39.73,2.971,1910.6,1415.0,92.765,3465.39,231.24,233.84,227.39,243.3,229.96
2020-10-26,38.39,3.024,1901.6,1402.0,93.044,3400.97,229.96,229.96,219.76,249.3,221.99
2020-10-27,39.34,3.019,1898.9,1413.0,92.927,3390.68,221.99,221.99,218.56,236.08,218.92
2020-10-28,37.27,2.996,1896.85,1384.0,93.409,3271.03,218.92,218.92,208.74,322.09,209.69
2020-10-29,35.94,3.301,1876.85,1297.0,93.977,3310.11,209.69,217.07,204.51,286.98,216.41
2020-10-30,35.64,3.354,1875.8,1283.0,94.042,3269.96,216.41,217.17,211.94,299.64,216.82
2020-11-02,36.6,3.244,1886.75,1284.0,94.145,3310.24,216.82,227.45,215.95,282.45,224.77
2020-11-03,37.44,3.059,1899.85,1263.0,93.56,3369.16,224.77,228.43,221.2,233.85,223.09
2020-11-04,38.97,3.046,1888.55,1224.0,93.411,3443.44,223.09,228.8,217.69,296.81,223.45
2020-11-05,38.56,2.942,1916.8,1194.0,92.516,3510.45,223.45,227.92,223.26,279.36,223.36
2020-11-06,36.97,2.888,1947.95,1196.0,92.225,3509.44,223.36,226.64,217.78,245.07,218.58
2020-11-09,40.05,2.859,1957.45,1207.0,92.715,3550.5,218.58,254.94,218.58,535.12,249.67
2020-11-10,41.18,2.949,1874.9,1200.0,92.736,3545.53,249.67,256.04,247.72,343.25,255.97
2020-11-11,41.23,3.031,1876.2,1141.0,93.024,3572.66,255.97,258.86,251.46,265.5,253.82
2020-11-12,40.9,2.976,1868.0,1124.0,92.956,3537.01,253.82,253.82,243.03,228.75,245.21
2020-11-13,39.93,2.995,1878.2,1115.0,92.75,3585.15,245.21,255.59,245.21,208.86,254.55
2020-11-16,41.14,2.697,1892.6,1111.0,92.63,3626.91,254.55,271.47,254.55,313.8,271.09
2020-11-17,41.24,2.692,1885.4,1112.0,92.398,3609.53,271.09,272.62,262.85,255.52,272.44
2020-11-18,41.64,2.712,1877.2,1115.0,92.311,3567.79,272.44,275.69,264.58,295.4,264.6
2020-11-19,41.57,2.592,1857.4,1134.0,92.284,3581.87,264.6,269.29,260.02,234.03,268.65
2020-11-20,41.99,2.65,1867.0,1148.0,92.395,3557.54,268.65,269.3,265.56,201.06,267.24
2020-11-23,42.91,2.711,1863.8,1169.0,92.494,3577.59,267.24,286.58,267.24,304.83,286.18
2020-11-24,44.71,2.775,1818.1,1178.0,92.22,3635.41,286.18,301.7,286.18,366.35,300.95
2020-11-30,45.2,2.882,1771.95,1227.0,91.858,3621.63,289.99,289.99,273.82,387.77,274.42
2020-12-01,44.54,2.88,1796.2,1211.0,91.297,3662.45,274.42,283.3,274.42,250.28,275.62
2020-12-02,45.23,2.78,1832.95,1201.0,91.115,3669.01,275.62,288.69,273.78,254.7,284.3
2020-12-03,45.65,2.507,1834.8,1189.0,90.718,3666.72,284.3,290.82,282.74,265.42,287.34
2020-12-04,46.23,2.575,1839.3,1197.0,90.694,3699.12,287.34,302.96,287.34,310.19,302.94
2020-12-07,45.72,2.406,1832.8,1162.0,90.789,3691.96,302.94,302.94,293.21,243.13,295.55
2020-12-08,45.64,2.399,1864.5,1121.0,90.968,3702.25,295.55,303.1,292.51,245.4,300.19
2020-12-09,45.48,2.442,1859.8,1122.0,91.083,3672.82,300.19,308.02,297.24,309.17,301.14
2020-12-10,46.76,2.553,1834.2,1161.0,90.82,3668.1,301.14,313.4,300.36,309.32,309.95
2020-12-11,46.59,2.591,1833.65,1211.0,90.97,3663.46,309.95,309.95,302.24,226.59,306.38
2020-12-14,47.02,2.682,1820.25,1235.0,90.731,3647.49,306.38,310.85,294.71,270.67,295.55
2020-12-15,47.58,2.682,1844.3,1273.0,90.409,3694.62,295.55,302.74,294.54,228.15,301.23
2020-12-16,47.86,2.677,1861.35,1296.0,90.359,3701.17,301.23,303.29,297.9,215.14,300.04
2020-12-17,48.34,2.636,1871.95,1301.0,89.741,3722.48,300.04,302.61,296.93,199.47,298.33
2020-12-18,49.04,2.7,1878.95,1325.0,89.953,3709.41,298.33,299.61,291.33,393.78,293.33
2020-12-21,47.79,2.705,1869.25,1323.0,89.949,3694.92,293.33,293.33,279.67,234.85,288.06
2020-12-22,47.02,2.78,1873.3,1330.0,90.546,3687.26,288.06,288.22,282.8,190.72,283.04
2020-12-23,47.94,2.608,1867.1,1362.0,90.34,3690.01,283.04,293.23,283.04,184.67,289.2
2020-12-24,48.18,2.518,1872.55,1366.0,90.25,3703.06,289.2,289.2,284.95,78.88,287.38
2021-01-04,47.47,2.581,1930.8,1374.0,89.845,3700.65,286.14,291.67,283.3,209.08,286.5
2021-01-05,49.78,2.702,1946.55,1418.0,89.409,3726.86,286.5,307.14,286.5,321.56,299.49
2021-01-06,50.45,2.716,1957.2,1425.0,89.502,3748.14,299.49,311.37,299.49,387.81,308.45
2021-01-07,50.63,2.729,1911.05,1448.0,89.791,3803.79,308.45,316.1,308.13,244.0,313.06
2021-01-08,52.14,2.7,1891.3,1606.0,90.068,3824.68,313.06,316.9,310.37,222.77,312.78
2021-01-11,52.15,2.747,1847.8,1761.0,90.442,3799.61,312.78,319.02,304.6,223.97,317.86
2021-01-12,53.08,2.753,1861.85,1849.0,90.064,3801.19,317.86,330.47,317.86,318.76,328.98
2021-01-13,52.81,2.727,1852.4,1856.0,90.334,3809.84,328.98,329.45,323.89,224.07,326.33
2021-01-14,53.47,2.666,1840.25,1792.0,90.215,3795.54,326.33,339.85,326.33,272.77,336.14
2021-01-15,52.25,2.737,1853.85,1754.0,90.754,3768.25,336.14,336.14,319.73,289.72,322.58
2021-01-19,52.87,2.546,1843.1,1766.0,90.476,3798.91,322.58,331.39,322.58,243.94,329.3
2021-01-21,53.0,2.491,1867.65,1837.0,90.127,3853.07,330.47,330.47,316.2,258.29,319.12
2021-01-22,52.28,2.446,1853.6,1810.0,90.212,3841.47,319.12,319.12,309.71,216.57,317.54
2021-01-25,52.78,2.602,1855.6,1765.0,90.373,3855.36,317.54,317.54,308.56,229.19,314.17
2021-01-26,52.61,2.656,1853.2,1659.0,90.148,3849.62,314.17,321.54,307.47,214.49,307.5
2021-01-27,52.81,2.76,1846.4,1540.0,90.64,3750.77,307.5,311.64,298.22,283.15,303.22
