Date,WTI,Gas,Gold,Bdiy,new_cases,vaccination,Dollar,Bitcoin,Snp,Open,High,Low,Volume,Energy
2020-01-02,61.17,2.122,1520.55,976.0,0.0,0.0,96.525,6967.0,3257.85,456.46,460.93,456.46,133.61,460.34
2020-01-03,63.0,2.13,1547.4,907.0,0.0,0.0,96.521,7343.1,3234.85,460.34,465.54,456.81,171.55,458.77
2020-01-06,63.27,2.135,1576.85,844.0,0.0,0.0,96.35,7759.1,3246.28,458.77,464.81,458.77,195.33,462.34
2020-01-07,62.7,2.162,1566.5,791.0,0.0,0.0,96.702,8155.7,3237.18,462.34,462.34,455.75,197.25,461.39
2020-01-08,59.65,2.141,1582.85,773.0,0.0,0.0,96.996,8059.6,3253.05,461.39,461.39,452.84,187.23,453.36
2020-01-09,59.56,2.166,1547.85,772.0,0.0,0.0,97.162,7842.4,3274.7,453.36,457.19,447.94,183.66,456.79
2020-01-10,59.02,2.202,1548.8,774.0,0.0,0.0,97.078,8187.1,3265.35,456.79,456.79,453.6,146.0,453.87
2020-01-13,58.17,2.182,1550.35,765.0,0.0,0.0,97.06,8111.4,3288.13,453.87,455.66,451.23,143.04,454.25
2020-01-14,58.34,2.187,1544.95,763.0,0.0,0.0,97.094,8829.2,3283.15,454.25,454.76,450.42,171.61,454.26
2020-01-15,57.86,2.12,1551.9,768.0,0.0,0.0,96.96,8818.3,3289.29,454.26,454.26,449.74,135.98,451.21
2020-01-16,58.52,2.077,1555.2,768.0,0.0,0.0,97.062,8726.9,3316.81,451.21,455.0,451.21,147.53,451.74
2020-01-17,58.55,2.003,1556.5,754.0,0.0,0.0,97.359,8913.1,3329.62,451.74,453.19,448.09,166.25,448.77
2020-01-21,58.25,1.895,1556.25,689.0,0.0,0.0,97.294,8732.6,3320.79,448.77,448.77,440.1,200.13,440.32
2020-01-22,56.76,1.905,1558.1,623.0,0.0,0.0,97.295,8678.5,3321.75,440.32,440.32,435.38,172.65,436.39
2020-01-23,55.51,1.926,1554.05,576.0,294.0,0.0,97.484,8405.1,3325.54,436.39,436.39,428.72,195.5,434.81
2020-01-24,54.09,1.893,1561.85,557.0,860.0,0.0,97.65,8439.9,3295.47,434.81,434.81,426.7,165.92,429.71
2020-01-27,53.09,1.902,1583.45,546.0,2428.0,0.0,97.767,8866.6,3243.63,429.71,429.71,417.65,196.95,417.87
2020-01-28,53.33,1.934,1579.6,539.0,7957.0,0.0,97.835,9377.3,3276.24,417.87,422.35,417.87,173.48,419.59
2020-01-29,53.29,1.877,1571.2,525.0,1769.0,0.0,97.819,9298.9,3273.4,419.59,423.58,414.99,164.02,415.12
2020-01-30,52.19,1.829,1580.4,498.0,6204.0,0.0,97.706,9507.3,3283.66,415.12,419.21,410.14,197.69,418.79
2020-01-31,51.58,1.841,1580.85,487.0,5079.0,0.0,97.213,9349.1,3225.52,418.79,418.79,403.32,264.59,405.45
2020-02-03,50.06,1.819,1578.85,466.0,9302.0,0.0,97.625,9296.6,3248.92,405.45,405.45,398.56,186.6,400.02
2020-02-04,49.59,1.872,1571.2,453.0,12034.0,0.0,97.809,9193.9,3297.59,400.02,408.57,400.02,195.87,400.81
2020-02-05,50.87,1.861,1552.2,430.0,11235.0,0.0,98.158,9611.8,3334.69,400.81,417.25,400.81,192.18,415.97
2020-02-06,50.94,1.862,1564.75,431.0,9486.0,0.0,98.381,9772.0,3345.78,415.97,417.44,410.91,131.42,411.64
2020-02-10,49.59,1.766,1574.05,411.0,7753.0,0.0,98.714,9854.1,3352.09,408.55,408.55,402.79,153.01,405.24
2020-02-11,50.0,1.788,1567.7,418.0,6128.0,0.0,98.594,10229.5,3357.75,405.24,410.89,405.24,145.07,409.47
2020-02-12,51.13,1.844,1566.75,421.0,1214.0,0.0,98.922,10317.7,3379.45,409.47,417.2,409.47,169.57,415.03
